"labcode","site","latitude","longitude","deltaC13","c14age","c14error","material","coastM","sitename","SiteID"
"SNU00-143","오이도 중간살막 패총",37.34549,126.694897,-21,4790,80,"charcoal",NA,"Junggan-salmak-Oido",1
"SNU00-137","는들",37.48574,126.49186,-20,4270,60,"charcoal",NA,"Nendul",2
"SNU00-138","는들",37.48574,126.49186,-22,4790,80,"charcoal",NA,"Nendul",2
"SNU00-139","는들",37.48574,126.49186,-29,4480,30,"charcoal",NA,"Nendul",2
"SNU00-390","세죽리",35.45971,129.357806,-27.5,5930,110,"charcoal (annual)",NA,"Sejukri",3
"SNU00-48","상촌리",35.21863,127.969302,-19.8,4290,30,"charcoal",NA,"Sangchonri-Daepyeong",4
"SNU01-303","상촌리",35.21863,127.969302,-19.34,4150,60,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-376","상촌리",35.21863,127.969302,-35.7,4030,40,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-377","상촌리",35.21863,127.969302,-26.1,4150,30,"charcoal (annual)",NA,"Sangchonri-Daepyeong",4
"SNU01-027","진그늘",35.886225,127.472179,NA,4500,300,"charcoal (annual)",NA,"Jingueneul",5
"SNU01-131","갈머리",35.878166,127.470977,-22.8,3760,80,"charcoal",NA,"Galmeori",6
"SNU01-132","갈머리",35.878166,127.470977,-22.73,4510,40,"charcoal",NA,"Galmeori",6
"SNU01-133","갈머리",35.878166,127.470977,-24.02,4560,40,"charcoal",NA,"Galmeori",6
"SNU01-134","갈머리",35.878166,127.470977,-28.5,4470,40,"charcoal",NA,"Galmeori",6
"SNU01-135","갈머리",35.878166,127.470977,-20.2,4050,40,"charcoal",NA,"Galmeori",6
"SNU01-136","갈머리",35.878166,127.470977,-18,4510,80,"charcoal",NA,"Galmeori",6
"SNU01-137","갈머리",35.878166,127.470977,-18.72,4650,30,"charcoal",NA,"Galmeori",6
"SNU01-138","갈머리",35.878166,127.470977,-18.54,4700,80,"charcoal (annual)",NA,"Galmeori",6
"SNU01-139","갈머리",35.878166,127.470977,-21.5,4200,100,"charcoal",NA,"Galmeori",6
"SNU01-140","갈머리",35.878166,127.470977,-28.9,4460,90,"charcoal",NA,"Galmeori",6
"SNU01-141","갈머리",35.878166,127.470977,-24.8,4540,80,"charcoal",NA,"Galmeori",6
"SNU01-144","동삼동 정화지역",35.07093,129.079771,-26.6,4360,60,"charcoal",NA,"Dongsamdong",7
"SNU01-150","동삼동 정화지역",35.07093,129.079771,-22.6,3910,40,"charcoal",NA,"Dongsamdong",7
"SNU01-163","동삼동 정화지역",35.07093,129.079771,-24.5,5910,50,"charcoal",NA,"Dongsamdong",7
"SNU01-182","진그늘",35.886225,127.472179,NA,4040,100,"charcoal",NA,"jingueneul",8
"SNU01-183","진그늘",35.886225,127.472179,NA,4500,120,"charcoal",NA,"jingueneul",8
"SNU02-455","남북동",37.46085,126.410825,NA,3500,40,"charcoal",NA,"Nambukdong",9
"SNU02-456","남북동",37.46085,126.410825,NA,3840,40,"charcoal",NA,"Nambukdong",9
"SNU02-457","남북동",37.46085,126.410825,NA,4440,50,"charcoal",NA,"Nambukdong",9
"SNU02-458","남북동",37.46085,126.410825,NA,4450,50,"charcoal",NA,"Nambukdong",9
"SNU02-459","남북동",37.46085,126.410825,NA,4650,40,"charcoal",NA,"Nambukdong",9
"SNU02-460","남북동",37.46085,126.410825,NA,4700,60,"charcoal",NA,"Nambukdong",9
"SNU02-461","남북동",37.46085,126.410825,NA,4620,60,"charcoal",NA,"Nambukdong",9
"SNU02-462","용유도 을왕동",37.46216,126.393779,-28,3810,40,"charcoal",NA,"Yongyudo Eulwangdong",10
"SNU02-477","동호동",35.96059,128.558791,-26.5,4700,40,"charcoal",NA,"Donghodong",11
"SNU01-395","동호동",35.96059,128.558791,-24.8,3760,40,"charcoal",NA,"Donghodong",11
"SNU02-395","관평동",36.419974,127.381367,NA,4250,50,"charcoal",NA,"Gwanpyeongdong",12
"SNU02-396","관평동",36.419974,127.381367,NA,4410,80,"charcoal",NA,"Gwanpyeongdong",12
"SNU02-397","관평동",36.419974,127.381367,NA,4370,60,"charcoal",NA,"Gwanpyeongdong",12
"SNU02-713","장흥 신풍",34.800592,126.843544,-35,4680,70,"charcoal",NA,"Jangheung Shinpung",13
"SNU03-296","밀양 살내",35.49571,128.784416,-27.5,4960,40,"charcoal",NA,"Salnae",14
"SNU03-633","오이도 유적 (추가단지내)",37.347473,126.694168,NA,4880,60,"charcoal",NA,"Oido",15
"SNU03-634","오이도 유적 (추가단지내)",37.347473,126.694168,NA,5140,80,"charcoal",NA,"Oido",15
"SNU03-635","오이도 유적 (추가단지내)",37.347473,126.694168,NA,4690,60,"charcoal",NA,"Oido",15
"SNU03-636","오이도 유적 (추가단지내)",37.347473,126.694168,NA,4700,60,"charcoal",NA,"Oido",15
"SNU03-637","오이도 유적 (추가단지내)",37.347473,126.694168,NA,4710,50,"charcoal",NA,"Oido",15
"SNU03-899","내흥동",36.001764,126.760241,-33.3,3880,60,"charcoal",NA,"Naeheungdong",16
"SNU03-255","삼목도",37.48943,126.475788,NA,4700,40,"charcoal",NA,"Sammokdo",17
"SNU03-256","삼목도",37.48943,126.475788,NA,4780,40,"charcoal",NA,"Sammokdo",17
"SNU03-257","삼목도",37.48943,126.475788,NA,4670,80,"charcoal",NA,"Sammokdo",17
"SNU03-258","삼목도",37.48943,126.475788,NA,4800,80,"charcoal",NA,"Sammokdo",17
"SNU03-259","삼목도",37.48943,126.475788,NA,4610,40,"charcoal",NA,"Sammokdo",17
"SNU03-260","삼목도",37.48943,126.475788,NA,4340,50,"charcoal",NA,"Sammokdo",17
"SNU03-261","삼목도",37.48943,126.475788,NA,4310,80,"charcoal",NA,"Sammokdo",17
"SNU03-262","삼목도",37.48943,126.475788,NA,4540,50,"charcoal",NA,"Sammokdo",17
"SNU03-263","삼목도",37.48943,126.475788,NA,4510,50,"charcoal",NA,"Sammokdo",17
"SNU03-264","삼목도",37.48943,126.475788,NA,4480,60,"charcoal",NA,"Sammokdo",17
"SNU05-741","삼목도",37.48943,126.475788,-33.12,4530,50,"charcoal",NA,"Sammokdo",17
"SNU05-742","삼목도",37.48943,126.475788,-15.98,3830,50,"charcoal",NA,"Sammokdo",17
"SNU05-743","삼목도",37.48943,126.475788,-30.98,3840,50,"charcoal",NA,"Sammokdo",17
"SNU05-201","삼목도",37.48943,126.475788,-25.99,4620,40,"charcoal",NA,"Sammokdo",17
"SNU05-204","삼목도",37.48943,126.475788,-27.37,4770,60,"charcoal",NA,"Sammokdo",17
"SNU05-343","비봉리",35.41067,128.645405,-27.36,5330,40,"charcoal",TRUE,"Bibongri",18
"SNU05-344","비봉리",35.41067,128.645405,-25.47,4340,40,"charcoal (annual)",TRUE,"Bibongri",18
"SNU05-345","비봉리",35.41067,128.645405,-22.58,4530,40,"charcoal",TRUE,"Bibongri",18
"SNU05-346","비봉리",35.41067,128.645405,-20.85,4680,50,"charcoal",TRUE,"Bibongri",18
"SNU05-347","비봉리",35.41067,128.645405,-17.15,3600,50,"charcoal",TRUE,"Bibongri",18
"SNU06-201","비봉리",35.41067,128.645405,-30.25,4650,60,"charcoal",TRUE,"Bibongri",18
"SNU06-202","비봉리",35.41067,128.645405,-25.38,3560,60,"charcoal",TRUE,"Bibongri",18
"SNU06-205","비봉리",35.41067,128.645405,-27.58,4420,50,"wood",TRUE,"Bibongri",18
"SNU06-206","비봉리",35.41067,128.645405,-26.81,4900,50,"charcoal (annual)",TRUE,"Bibongri",18
"SNU06-207","비봉리",35.41067,128.645405,-27.74,3540,60,"charcoal",TRUE,"Bibongri",18
"SNU06-209","비봉리",35.41067,128.645405,-26.02,5970,60,"wood",TRUE,"Bibongri",18
"SNU06-1133","성내리",36.8789,127.007758,-23.38,4640,50,"charcoal",NA,"Seongnaeri",19
"SNU06-1135","성내리",36.8789,127.007758,NA,4660,50,"charcoal",NA,"Seongnaeri",19
"SNU06-1027","노대동",35.10135,126.888119,-25.89,4130,50,"charcoal",NA,"Nodaedong",20
"SNU06-1028","노대동",35.10135,126.888119,-24.24,4140,50,"charcoal",NA,"Nodaedong",20
"SNU06-913","방동리",37.82827,128.878506,-25.34,4790,60,"charcoal",NA,"Bangdongri",21
"SNU06-914","방동리",37.82827,128.878506,-28.92,4680,60,"charcoal",NA,"Bangdongri",21
"SNU06-173","호평동 지사을",37.662236,127.249502,-24.75,3930,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-176","호평동 지사을",37.662236,127.249502,-26.53,3860,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-177","호평동 지사을",37.662236,127.249502,-29.9,4040,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-178","호평동 지사을",37.662236,127.249502,-27.08,4050,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-179","호평동 지사을",37.662236,127.249502,-27.77,3990,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-180","호평동 지사을",37.662236,127.249502,-31.06,4020,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-181","호평동 지사을",37.662236,127.249502,NA,2890,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-182","호평동 지사을",37.662236,127.249502,-34.17,2850,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-183","호평동 지사을",37.662236,127.249502,-28.83,2880,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-184","호평동 지사을",37.662236,127.249502,-34.67,3820,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-185","호평동 지사을",37.662236,127.249502,-23.98,3700,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-186","호평동 지사을",37.662236,127.249502,-31.93,3930,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-187","호평동 지사을",37.662236,127.249502,-39.93,3560,120,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-188","호평동 지사을",37.662236,127.249502,-31.41,4220,120,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-189","호평동 지사을",37.662236,127.249502,-24.13,4090,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-190","호평동 지사을",37.662236,127.249502,NA,4100,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-191","호평동 지사을",37.662236,127.249502,-30.45,4130,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-192","호평동 지사을",37.662236,127.249502,-24.14,4080,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-193","호평동 지사을",37.662236,127.249502,-27.41,4220,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-194","호평동 지사을",37.662236,127.249502,-24.29,4080,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-195","호평동 지사을",37.662236,127.249502,-23,3980,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-196","호평동 지사을",37.662236,127.249502,-22.51,4170,60,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-197","호평동 지사을",37.662236,127.249502,-22.89,4070,50,"charcoal",NA,"Jisaeul-Hopyeongdong",22
"SNU06-791","동망골",37.28683,127.115182,NA,4020,60,"charcoal",NA,"Dongmanggol",23
"SNU06-792","동망골",37.28683,127.115182,NA,4160,80,"charcoal",NA,"Dongmanggol",23
"SNU06-794","동망골",37.28683,127.115182,NA,4200,60,"charcoal",NA,"Dongmanggol",23
"SNU06-1138","주천리 1619번지",37.26524,128.2886,-35.88,3860,60,"charcoal",NA,"Jucheon 1619",24
"SNU06-1139","주천리 1619번지",37.26524,128.2886,-30.96,3920,70,"charcoal",NA,"Jucheon 1619",24
"SNU06-1140","주천리 1619번지",37.26524,128.2886,-27.5,4180,60,"charcoal",NA,"Jucheon 1619",24
"SNU07-525","당동리",37.865239,126.780386,-77.3,3390,100,"charcoal",NA,"Dangdongri",25
"SNU07-466","농서리",37.218375,127.086051,-26.19,4670,50,"charcoal",NA,"Nongseori",26
"SNU07-463","농서리",37.218375,127.086051,-29.19,4360,50,"charcoal",NA,"Nongseori",26
"SNU07-464","농서리",37.218375,127.086051,-23.36,4190,60,"charcoal",NA,"Nongseori",26
"SNU07-462","농서리",37.218375,127.086051,-29.94,4340,50,"charcoal",NA,"Nongseori",26
"SNU07-467","농서리",37.218375,127.086051,-30.51,4830,50,"charcoal",NA,"Nongseori",26
"SNU07-468","농서리",37.218375,127.086051,-33.09,4530,60,"charcoal",NA,"Nongseori",26
"SNU07-469","농서리",37.218375,127.086051,-28.83,4480,60,"charcoal",NA,"Nongseori",26
"SNU07-470","농서리",37.218375,127.086051,-29.77,4370,50,"charcoal",NA,"Nongseori",26
"SNU07-471","농서리",37.218375,127.086051,-31.75,4590,60,"charcoal",NA,"Nongseori",26
"SNU07-472","농서리",37.218375,127.086051,-30.71,4360,50,"charcoal",NA,"Nongseori",26
"SNU07-473","농서리",37.218375,127.086051,-30.05,4350,50,"charcoal",NA,"Nongseori",26
"SNU07-474","농서리",37.218375,127.086051,-27.07,4370,50,"charcoal",NA,"Nongseori",26
"SNU07-475","농서리",37.218375,127.086051,-28.55,4400,60,"charcoal",NA,"Nongseori",26
"SNU07-476","농서리",37.218375,127.086051,-26.99,4510,60,"charcoal",NA,"Nongseori",26
"SNU07-477","농서리",37.218375,127.086051,-29.51,4360,60,"charcoal",NA,"Nongseori",26
"SNU07-207","외삼포리",37.756,127.986494,-27.46,4920,80,"charcoal",NA,"Oesampori",27
"SNU07-208","외삼포리",37.756,127.986494,-27.41,4470,50,"charcoal",NA,"Oesampori",27
"SNU08-480","당동리",37.865239,126.780386,-23.23,3910,50,"charcoal",NA,"Dangdongri",25
"SNU08-479","당동리",37.865239,126.780386,-24.59,3740,50,"charcoal",NA,"Dangdongri",25
"SNU07-107","신길",37.33568,126.785401,NA,4720,50,"charcoal",NA,"Shingil",28
"SNU07-108","신길",37.33568,126.785401,NA,4700,50,"charcoal",NA,"Shingil",28
"SNU07-109","신길",37.33568,126.785401,NA,4710,50,"charcoal",NA,"Shingil",28
"SNU07-110","신길",37.33568,126.785401,NA,4760,50,"charcoal",NA,"Shingil",28
"SNU07-111","신길",37.33568,126.785401,NA,4620,50,"charcoal",NA,"Shingil",28
"SNU07-112","신길",37.33568,126.785401,NA,4600,50,"charcoal",NA,"Shingil",28
"SNU07-113","신길",37.33568,126.785401,NA,4710,50,"charcoal",NA,"Shingil",28
"SNU07-114","신길",37.33568,126.785401,NA,4530,50,"charcoal",NA,"Shingil",28
"SNU07-115","신길",37.33568,126.785401,NA,4610,50,"charcoal",NA,"Shingil",28
"SNU07-116","신길",37.33568,126.785401,NA,4650,50,"charcoal",NA,"Shingil",28
"SNU08-819","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-41.42,5740,80,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-820","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-23.27,3530,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-821","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-40.12,5530,80,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-822","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-25.89,4790,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-823","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-17.13,4040,50,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-824","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-25.88,3730,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-825","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-20.15,3980,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-827","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-33.08,4980,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-828","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-25.82,4810,50,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-829","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-36.58,4940,50,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-830","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-34.83,4980,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-831","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-41.82,5400,80,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-832","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-29.57,3700,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-833","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-34.8,5260,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-834","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-34.83,5240,60,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-835","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-24.8,5060,50,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-836","제주 삼화지구 가-Ⅱ구역 유적",33.516382,126.584535,-33.95,5330,50,"charcoal",NA,"Samhwa Ga-2",29
"SNU08-238","능곡",37.37582,126.811394,-27.68,4730,50,"charcoal",NA,"Neunggok",30
"SNU08-239","능곡",37.37582,126.811394,-32.84,4690,70,"charcoal",NA,"Neunggok",30
"SNU08-240","능곡",37.37582,126.811394,-26.26,4870,50,"charcoal",NA,"Neunggok",30
"SNU08-241","능곡",37.37582,126.811394,-23.66,4830,50,"charcoal",NA,"Neunggok",30
"SNU08-242","능곡",37.37582,126.811394,-27.69,4580,60,"charcoal",NA,"Neunggok",30
"SNU08-243","능곡",37.37582,126.811394,-31.95,4750,60,"charcoal",NA,"Neunggok",30
"SNU08-244","능곡",37.37582,126.811394,-37.57,4520,80,"charcoal",NA,"Neunggok",30
"SNU08-245","능곡",37.37582,126.811394,-26.17,4970,50,"charcoal",NA,"Neunggok",30
"SNU08-247","능곡",37.37582,126.811394,-23.8,4900,50,"charcoal",NA,"Neunggok",30
"SNU08-248","능곡",37.37582,126.811394,-17.5,4840,50,"charcoal",NA,"Neunggok",30
"SNU08-249","능곡",37.37582,126.811394,-27.86,4780,50,"charcoal",NA,"Neunggok",30
"SNU08-250","능곡",37.37582,126.811394,-23.98,4860,50,"charcoal",NA,"Neunggok",30
"SNU08-251","능곡",37.37582,126.811394,-24.78,4800,50,"charcoal",NA,"Neunggok",30
"SNU08-253","능곡",37.37582,126.811394,-36.81,4620,70,"charcoal",NA,"Neunggok",30
"SNU08-R094","운서동 2",37.501765,126.50171,-25.72,4490,60,"charcoal",NA,"Unseodong 2",31
"SNU08-R095","운서동 2",37.501765,126.50171,-33.29,4780,60,"charcoal",NA,"Unseodong 2",31
"SNU08-R096","운서동 2",37.501765,126.50171,-21.74,3140,50,"charcoal",NA,"Unseodong 2",31
"SNU08-R097","운서동 2",37.501765,126.50171,-23.52,3370,50,"charcoal",NA,"Unseodong 2",31
"SNU08-775","중산동",37.485366,126.551862,-20.6,4060,80,"charcoal",NA,"Jungsandong",32
"SNU09-R209","운서동 1",37.495228,126.495015,-22.36,5040,50,"charcoal",NA,"Unseodong 1",33
"SNU09-R210","운서동 1",37.495228,126.495015,-21.49,4550,80,"charcoal",NA,"Unseodong 1",33
"SNU09-R211","운서동 1",37.495228,126.495015,-40.12,4920,80,"charcoal",NA,"Unseodong 1",33
"SNU09-R212","운서동 1",37.495228,126.495015,-23.23,4990,60,"charcoal",NA,"Unseodong 1",33
"SNU09-R213","운서동 1",37.495228,126.495015,-23.23,3360,60,"charcoal",NA,"Unseodong 1",33
"SNU09-R134","평거동",35.16712,128.056004,NA,3550,60,"charcoal",NA,"Pyeonggeodong",34
"SNU09-047","용장리",35.78921,129.205119,-24.95,4500,60,"charcoal",NA,"Yongjangri",35
"SNU09-048","용장리",35.78921,129.205119,-33.64,4560,60,"charcoal",NA,"Yongjangri",35
"SNU09-049","용장리",35.78921,129.205119,-74.5,4360,60,"charcoal",NA,"Yongjangri",35
"SNU10-1255","경서동",37.556148,126.666357,-15.01,4340,50,"charcoal",NA,"Gyeongseodong",36
"SNU10-1256","경서동",37.556148,126.666357,-8.83,4430,40,"charcoal",NA,"Gyeongseodong",36
"SNU10-1258","경서동",37.556148,126.666357,-31.35,4340,50,"charcoal",NA,"Gyeongseodong",36
"SNU10-1097","비봉리",35.41067,128.645405,NA,5560,50,"wood",TRUE,"Bibongri",18
"SNU10-1098","비봉리",35.41067,128.645405,NA,5530,50,"charcoal",TRUE,"Bibongri",18
"SNU10-1099","비봉리",35.41067,128.645405,NA,5270,50,"wood",TRUE,"Bibongri",18
"SNU10-1100","비봉리",35.41067,128.645405,NA,5060,50,"wood",TRUE,"Bibongri",18
"SNU10-1101","비봉리",35.41067,128.645405,NA,6170,50,"wood",TRUE,"Bibongri",18
"SNU10-1102","비봉리",35.41067,128.645405,NA,5990,50,"wood",TRUE,"Bibongri",18
"SNU10-822","중산동",37.494272,126.555682,-24.85,3990,50,"charcoal",NA,"Jungsandong",37
"SNU10-823","중산동",37.494272,126.555682,-24.21,4180,50,"charcoal",NA,"Jungsandong",37
"SNU10-824","중산동",37.494272,126.555682,-25.13,4410,50,"charcoal",NA,"Jungsandong",37
"SNU10-825","중산동",37.494272,126.555682,-29.7,4190,50,"charcoal",NA,"Jungsandong",37
"SNU10-826","중산동",37.494272,126.555682,-23.83,3780,50,"charcoal",NA,"Jungsandong",37
"SNU10-827","중산동",37.494272,126.555682,-33.1,4170,50,"charcoal",NA,"Jungsandong",37
"SNU10-828","중산동",37.494272,126.555682,-23.78,4070,50,"charcoal",NA,"Jungsandong",37
"SNU10-829","중산동",37.494272,126.555682,-21.1,4040,50,"charcoal",NA,"Jungsandong",37
"SNU10-830","중산동",37.494272,126.555682,-24.48,4270,50,"charcoal",NA,"Jungsandong",37
"SNU10-834","중산동",37.494272,126.555682,-31.21,3740,50,"charcoal",NA,"Jungsandong",37
"SNU10-835","중산동",37.494272,126.555682,-25.82,4030,50,"charcoal",NA,"Jungsandong",37
"SNU10-836","중산동",37.494272,126.555682,-23.62,4260,50,"charcoal",NA,"Jungsandong",37
"SNU10-837","중산동",37.494272,126.555682,-26.07,4140,50,"charcoal",NA,"Jungsandong",37
"SNU10-838","중산동",37.494272,126.555682,-25.56,3690,50,"charcoal",NA,"Jungsandong",37
"SNU10-839","중산동",37.494272,126.555682,-25.98,3820,50,"charcoal",NA,"Jungsandong",37
"SNU10-840","중산동",37.494272,126.555682,-26.16,4240,50,"charcoal",NA,"Jungsandong",37
"SNU10-841","중산동",37.494272,126.555682,-26.07,4330,50,"charcoal",NA,"Jungsandong",37
"SNU10-842","중산동",37.494272,126.555682,-32.16,4460,50,"charcoal",NA,"Jungsandong",37
"SNU10-763","지좌리",35.97682,127.982285,-28.07,4220,50,"charcoal",NA,"Jijwari",38
"SNU10-764","지좌리",35.97682,127.982285,-23.96,4040,40,"charcoal",NA,"Jijwari",38
"SNU10-765","지좌리",35.97682,127.982285,-28.96,4160,50,"charcoal",NA,"Jijwari",38
"SNU10-766","지좌리",35.97682,127.982285,-26.61,4420,50,"charcoal",NA,"Jijwari",38
"SNU10-767","지좌리",35.97682,127.982285,-22.25,4410,50,"charcoal",NA,"Jijwari",38
"SNU10-R055","화전",35.11553,126.755333,NA,4380,50,"wood",NA,"Hwajeon",39
"SNU10-R056","화전",35.11553,126.755333,NA,4380,60,"wood",NA,"Hwajeon",39
"SNU11-196","구래리",37.63985,126.627011,-20.23,4530,50,"charcoal",NA,"Guryeri",40
"SNU11-197","구래리",37.63985,126.627011,-23.17,4550,50,"charcoal",NA,"Guryeri",40
"SNU11-R026","삼양동초등학교",33.520659,126.586206,-28.09,5250,60,"charcoal",NA,"Samyangdong",41
"N-3448a","수가리",35.17239,128.867395,NA,4510,105,"charcoal",TRUE,"Sugari",42
"KSU-619","오산리",38.08705,128.661486,NA,6080,210,"charcoal",NA,"Osanri",43
"KSU-616","오산리",38.08705,128.661486,NA,6130,50,"charcoal",NA,"Osanri",43
"KSU-615","오산리",38.08705,128.661486,NA,6070,30,"charcoal",NA,"Osanri",43
"KSU-620","오산리",38.08705,128.661486,NA,5740,210,"charcoal",NA,"Osanri",43
